message,label
ESE PERSONAJE ESTÁ ROTO EN ESTA VERSIÓN!!!,0
"vamos equipo, juntos ganamos",0
tu madre es una rata jaja,1
"te voy a reportar, cul3r0",1
vete a la mierda,1
hay un enemigo a la derecha,0
"genial, lo hicimos",0
aguante argentina,0
"TE VOY A REPORTAR, RETRASADO",1
M0NG0LO DE MIERDA,1
buen trabajo en la última ronda,0
el escuadrón del jefe es complicado,0
cerd0 de mierda ?,1
ese personaje está roto en esta versión jaja,0
eres la peor persona de este equipo ?,1
la rata del jefe del nivel 3 es difícil de matar,0
recojan las mejoras del mapa,0
vamos a ganar esta partida,0
CÁLLATE CULERO,1
el jefe final es muy bueno,0
qué cerdo eres,1
cómo se llama esta zona del mapa!!!,0
este nivel es un infierno de difícil,0
nos vemos en la próxima partida,0
NADIE QUIERE JUGAR CONTIGO 70N74...,1
eres boludo,1
"EXCELENTE, SIGUE REGALANDO LA PARTIDA GENIO",1
JUEGAS COMO UNA MIERDA,1
qué buena partida,0
bajen por el pasillo de la izquierda,0
¿DÓNDE ESTÁ EL BOSS? :),0
voy a revivir a los caídos,0
vamos a ganar esta,0
no sirves para nada m4r1c4 :),1
cállate r3tr45ad4,1
"excelente, sigue regalando la partida genio",1
vamos a ganar esta,0
BUENA JUGADA ?,0
"excelente, sigue regalando la partida genio",1
tu madre es una idiota,1
el dragón del nivel 4 da miedo,0
la rata del jefe del nivel 3 es difícil de matar,0
eres un tonto que no sabe nada del juego ?,1
"claro, genio, sigue así :)",1
cómo se llama esta zona del mapa,0
el dragón del nivel 4 da miedo ?,0
gracias por la ayuda!!!,0
eres un mongolo que no sabe nada del juego,1
estoy a un punto de subir de nivel,0
voy a revivir a los caídos,0
c3rd0 de mierda,1
tú eres 1nú71l,1
vete a jugar otro juego idiota,1
VOY A REVIVIR A LOS CAÍDOS,0
tú eres es7úpid4,1
"excelente, sigue regalando la partida genio jaja",1
"tranquilos, todavía podemos ganar",0
sabes perder porque eres pelotudo,1
nos vemos en la próxima partida,0
"muy inteligente, campeón, mira cómo juegas",1
¿alguien tiene micrófono?,0
recojan las mejoras del mapa,0
b0lud0 de mierda,1
BUENA JUGADA,0
esa skin es muy bonita,0
tu madre es una feo,1
¿alguien tiene micrófono? jaja,0
gg,0
"muy inteligente, campeón, mira cómo juegas",1
aguanten un poco más equipo,0
vamos a ganar el duelo de jefes,0
buen trabajo en la última ronda!!!,0
la rata del laboratorio es un jefe genial,0
tu madre es una boludo :),1
"seguro que llegas a diamante jugando así, genio",1
cubran la zona B,0
necesito munición,0
JUEGAS COMO UNA MIERDA ?,1
necesito munición!!!,0
RECUERDEN RECOGER LAS LLAVES,0
el jefe final es muy bueno,0
cubran la zona B,0
cubran la zona B,0
"GG, BIEN JUGADO",0
"ya cállate, eres insoportable cerdo",1
buen trabajo en la última ronda,0
el equipo pierde por tu culpa puto,1
necesito que alguien cubra la retaguardia,0
"TE VOY A REPORTAR, PU7O",1
TÚ ERES UNA RATA,1
"YA CÁLLATE, ERES INSOPORTABLE RATA ?",1
BUENA ESTRATEGIA LA DEL EQUIPO ?,0
tú eres una rata,1
eres una tonto jaja,1
"CLARO, GENIO, SIGUE ASÍ",1
sabes perder porque eres estúpida ?,1
"seguro que llegas a diamante jugando así, genio",1
TODOS TE ODIAN EN ESTA COMUNIDAD,1
vamos a ganar el duelo de jefes,0
cállate 1mbéc1l ?,1
estoy esperando en la cola del nivel,0
cubran la zona B :),0
voy a revivir a los caídos,0
estoy a un punto de subir de nivel,0
el equipo pierde por tu culpa rata,1
ojalá te baneen para siempre,1
me encanta este juego,0
¿dónde está el boss?,0
el jefe final es muy bueno,0
"tranquilos, todavía podemos ganar",0
"seguro que llegas a diamante jugando así, genio",1
PÁSAME EL MEDKIT PORFA,0
"claro, genio, sigue así...",1
"muy inteligente, campeón, mira cómo juegas jaja",1
vamos a ganar esta partida,0
eres la peor persona de este equipo,1
¿dónde consigo las pociones?,0
¿alguien tiene micrófono?,0
vamos a ganar esta partida,0
nos vemos en la próxima partida,0
la rata del laboratorio es un jefe genial,0
qué mal juegas pelotudo,1
"muy inteligente, campeón, mira cómo juegas",1
tú eres cabrón,1
buena partida,0
EL JEFE FINAL ES MUY BUENO,0
tú eres 1nú7il,1
ERES LA PEOR PERSONA DE ESTE EQUIPO,1
voy a revivir a los caídos,0
"GG, bien jugado",0
"GG, bien jugado",0
eres una tonta,1
GRACIAS POR LA AYUDA,0
ESTOY A UN PUNTO DE SUBIR DE NIVEL,0
NECESITO MUNICIÓN,0
todos te odian en esta comunidad,1
eres un puto...,1
voy a revivir a los caídos,0
sígueme por aquí,0
vamos a ganar el duelo de jefes,0
el jefe final es muy bueno,0
qué mal juegas anormal,1
"claro, genio, sigue así",1
el lag me mata a veces,0
"NO ESTÉS TRISTE, LA GANAS LA PRÓXIMA",0
el jefe final es muy bueno ?,0
todos te odian en esta comunidad,1
¿DÓNDE ESTÁ EL BOSS?,0
"GG, bien jugado",0
todos te odian en esta comunidad,1
el jefe final es muy bueno,0
tú eres marica,1
recojan las mejoras del mapa,0
necesito que alguien cubra la retaguardia,0
el dragón del nivel 4 da miedo,0
GRACIAS POR LA AYUDA,0
ba5ur4 de mierda :),1
este nivel es un infierno de difícil,0
nadie quiere jugar contigo cabron4 ?,1
tú eres tarado,1
tu madre es una pendejo,1
AGUANTEN UN POCO MÁS EQUIPO,0
esa skin es muy bonita,0
juegas como una mierda,1
hay que rotar a la izquierda,0
este nivel es un infierno de difícil,0
buena partida ?,0
BORRA EL JUEGO P3RRA,1
borra el juego idiota,1
ese personaje está roto en esta versión,0
"genial, lo hicimos",0
buen trabajo en la última ronda!!!,0
"excelente, sigue regalando la partida genio",1
nadie quiere jugar contigo feo,1
"GG, bien jugado",0
no sirves para nada anormal jaja,1
VETE A JUGAR OTRO JUEGO PERRA,1
estoy esperando en la cola del nivel,0
vete a jugar otro juego culero,1
vete a jugar otro juego boludo,1
qué buena partida jaja,0
no sirves para nada culero,1
este nivel es un infierno de difícil,0
el escuadrón del jefe es complicado,0
"tranquilos, todavía podemos ganar",0
"seguro que llegas a diamante jugando así, genio",1
BUENA JUGADA,0
voy a revivir a los caídos,0
estoy esperando en la cola del nivel,0
"qué bien que jugaste, inútil",1
vete a jugar otro juego tonta,1
"vamos equipo, juntos ganamos",0
¿dónde consigo las pociones?,0
qué buena partida,0
ERES UN MONGOLO,1
"seguro que llegas a diamante jugando así, genio",1
¿dónde consigo las pociones?!!!,0
eres una imbécil,1
¿alguien tiene micrófono?,0
necesito que alguien cubra la retaguardia,0
aguanten un poco más equipo,0
hay un enemigo a la derecha!!!,0
buen trabajo en la última ronda,0
el ping está alto hoy,0
sabes perder porque eres cabrón,1
el jefe final es muy bueno,0
pásame el medkit porfa,0
"claro, genio, sigue así",1
hay que rotar a la izquierda...,0
hay que rotar a la izquierda,0
estoy esperando en la cola del nivel,0
ese personaje está roto en esta versión ?,0
eres pu70,1
"qué bien que jugaste, inútil",1
qué pendejo eres,1
gg...,0
"muy inteligente, campeón, mira cómo juegas ?",1
vamos a ganar esta,0
sígueme por aquí,0
hay que rotar a la izquierda,0
vete a jugar otro juego imbécil,1
cómo se llama esta zona del mapa,0
buen trabajo en la última ronda,0
qué mal juegas pendejo,1
la rata del laboratorio es un jefe genial,0
gg!!!,0
recuerden recoger las llaves!!!,0
eres un 70n74,1
"qué bien que jugaste, inútil",1
eres estúpido ?,1
la rata del jefe del nivel 3 es difícil de matar,0
cállate gordo,1
TU MADRE ES UNA PUT0,1
"muy inteligente, campeón, mira cómo juegas",1
"qué bien que jugaste, inútil",1
el lag me mata a veces,0
buena jugada,0
tú eres pelotudo,1
"vamos equipo, juntos ganamos",0
voy a revivir a los caídos...,0
el ping está alto hoy,0
el dragón del nivel 4 da miedo :),0
"te voy a reportar, anormal",1
juguemos otra ronda,0
borra el juego mi3rd4,1
"qué bien que jugaste, inútil",1
"qué bien que jugaste, inútil ?",1
¿dónde consigo las pociones? ?,0
pásame el medkit porfa,0
"ya cállate, eres insoportable pendeja",1
"buena esa, gracias",0
mejor cambiemos de estrategia,0
ojalá te baneen para siempre,1
juegas como una mierda,1
el equipo pierde por tu culpa 7ont4,1
buena partida,0
NO SIRVES PARA NADA ANORMAL,1
tú eres imbécil,1
eres un cabrona,1
"GG, bien jugado",0
"muy inteligente, campeón, mira cómo juegas :)",1
necesito que alguien cubra la retaguardia,0
borra el juego feo,1
nos vemos en la próxima partida,0
"claro, genio, sigue así",1
CUBRAN LA ZONA B,0
este nivel es un infierno de difícil,0
ojalá pierdas todas las partidas feo,1
"genial, lo hicimos",0
recuerden recoger las llaves,0
nadie quiere jugar contigo perra,1
buena estrategia la del equipo,0
NO SIRVES PARA NADA 7ONTO...,1
vamos a ganar esta partida,0
el equipo pierde por tu culpa retrasado,1
todos te odian en esta comunidad!!!,1
eres un perra,1
QUÉ MAL JUEGAS CABRÓN,1
sígueme por aquí jaja,0
el equipo pierde por tu culpa m0n9ol0,1
eres una cerdo,1
cállate estúpida,1
"qué bien que jugaste, inútil",1
"claro, genio, sigue así",1
cómo se llama esta zona del mapa!!!,0
